50.000 1.000 0.390 0.400 0.415 0.106 0.108 0.110 0.283 0.292 0.306
50.000 0.000 0.988 1.012 1.041 0.185 0.189 0.197 0.803 0.823 0.847
0.000 0.000 0.000 2.530 0.000 0.000 1.740 0.000 0.000 1.800 0.000
100.000 1.000 0.382 0.390 0.398 0.106 0.108 0.110 0.274 0.281 0.291
100.000 0.000 0.816 0.959 0.996 0.002 0.165 0.183 0.769 0.793 0.816
0.000 0.000 0.000 2.460 0.000 0.000 0.020 0.000 0.000 1.660 0.000
150.000 1.000 0.383 0.389 0.399 0.107 0.108 0.111 0.276 0.280 0.288
150.000 0.000 0.810 0.951 1.004 0.027 0.166 0.185 0.755 0.786 0.826
0.000 0.000 0.000 2.450 0.000 0.000 0.250 0.000 0.000 1.670 0.000
200.000 1.000 0.379 0.392 0.401 0.107 0.109 0.111 0.272 0.283 0.290
200.000 0.000 0.902 0.937 0.983 0.166 0.172 0.177 0.733 0.765 0.807
0.000 0.000 0.000 2.390 0.000 0.000 1.550 0.000 0.000 1.600 0.000
300.000 1.000 0.384 0.392 0.403 0.107 0.108 0.110 0.276 0.284 0.294
300.000 0.000 0.848 0.940 0.997 0.033 0.164 0.187 0.743 0.777 0.815
0.000 0.000 0.000 2.400 0.000 0.000 0.310 0.000 0.000 1.700 0.000
400.000 1.000 0.380 0.390 0.399 0.107 0.109 0.110 0.273 0.281 0.290
400.000 0.000 0.928 0.963 1.026 0.172 0.179 0.189 0.751 0.784 0.838
0.000 0.000 0.000 2.470 0.000 0.000 1.610 0.000 0.000 1.720 0.000
500.000 1.000 0.383 0.391 0.407 0.107 0.109 0.110 0.274 0.282 0.298
500.000 0.000 0.911 0.952 1.009 0.168 0.176 0.183 0.741 0.776 0.827
0.000 0.000 0.000 2.430 0.000 0.000 1.570 0.000 0.000 1.670 0.000
