3.000 1.000 0.580 0.605 0.625 0.127 0.129 0.131 0.452 0.476 0.494
3.000 0.000 2.044 2.044 2.044 0.114 0.114 0.114 1.930 1.930 1.930
0.000 0.000 0.000 3.380 0.000 0.000 0.880 0.000 0.000 4.050 0.000
14.000 1.000 0.450 0.457 0.460 0.113 0.114 0.116 0.335 0.342 0.346
14.000 0.000 1.263 1.415 1.573 0.029 0.133 0.245 1.234 1.283 1.329
0.000 0.000 0.000 3.100 0.000 0.000 1.160 0.000 0.000 3.750 0.000
30.000 1.000 0.445 0.450 0.453 0.111 0.111 0.112 0.335 0.339 0.342
30.000 0.000 1.357 1.416 1.500 0.061 0.153 0.251 1.208 1.262 1.381
0.000 0.000 0.000 3.140 0.000 0.000 1.380 0.000 0.000 3.720 0.000
50.000 1.000 0.396 0.405 0.416 0.104 0.106 0.108 0.291 0.299 0.310
50.000 0.000 0.852 0.993 1.052 0.022 0.166 0.185 0.804 0.827 0.867
0.000 0.000 0.000 2.450 0.000 0.000 1.560 0.000 0.000 2.770 0.000
