50.000 1.000 0.396 0.405 0.416 0.104 0.106 0.108 0.291 0.299 0.310
50.000 0.000 0.852 0.993 1.052 0.022 0.166 0.185 0.804 0.827 0.867
0.000 0.000 0.000 2.450 0.000 0.000 1.560 0.000 0.000 2.770 0.000
100.000 1.000 0.395 0.403 0.418 0.106 0.107 0.108 0.287 0.296 0.311
100.000 0.000 0.932 0.945 0.960 0.168 0.171 0.173 0.759 0.773 0.787
0.000 0.000 0.000 2.340 0.000 0.000 1.610 0.000 0.000 2.610 0.000
150.000 1.000 0.398 0.405 0.412 0.105 0.107 0.109 0.291 0.298 0.304
150.000 0.000 0.825 0.953 1.002 0.025 0.160 0.182 0.757 0.793 0.820
0.000 0.000 0.000 2.360 0.000 0.000 1.500 0.000 0.000 2.660 0.000
200.000 1.000 0.399 0.407 0.417 0.105 0.107 0.109 0.292 0.300 0.309
200.000 0.000 0.844 0.967 1.031 0.029 0.148 0.181 0.785 0.819 0.852
0.000 0.000 0.000 2.370 0.000 0.000 1.380 0.000 0.000 2.730 0.000
400.000 1.000 0.396 0.405 0.417 0.107 0.108 0.109 0.288 0.297 0.310
400.000 0.000 0.841 0.958 0.992 0.035 0.157 0.178 0.773 0.802 0.820
0.000 0.000 0.000 2.360 0.000 0.000 1.450 0.000 0.000 2.700 0.000
500.000 1.000 0.399 0.407 0.415 0.106 0.107 0.108 0.292 0.299 0.306
500.000 0.000 0.968 0.982 1.001 0.170 0.175 0.184 0.795 0.807 0.828
0.000 0.000 0.000 2.410 0.000 0.000 1.630 0.000 0.000 2.700 0.000
