3.000 1.000 0.875 0.930 0.986 0.140 0.164 0.178 0.709 0.766 0.817
3.000 0.000 1.863 2.069 2.231 0.039 0.279 0.458 1.700 1.790 1.871
0.000 0.000 0.000 2.220 0.000 0.000 0.280 0.000 0.000 2.580 0.000
14.000 1.000 0.503 0.514 0.526 0.115 0.117 0.119 0.387 0.398 0.410
14.000 0.000 1.320 1.526 1.905 0.063 0.229 0.283 1.203 1.297 1.630
0.000 0.000 0.000 2.970 0.000 0.000 0.550 0.000 0.000 2.380 0.000
30.000 1.000 0.450 0.457 0.469 0.108 0.110 0.112 0.341 0.347 0.356
30.000 0.000 1.188 1.436 1.730 0.022 0.190 0.334 1.145 1.246 1.414
0.000 0.000 0.000 3.140 0.000 0.000 0.200 0.000 0.000 2.970 0.000
50.000 1.000 0.390 0.400 0.415 0.106 0.108 0.110 0.283 0.292 0.306
50.000 0.000 0.988 1.012 1.041 0.185 0.189 0.197 0.803 0.823 0.847
0.000 0.000 0.000 2.530 0.000 0.000 1.740 0.000 0.000 1.800 0.000
